#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                KOREAN character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:39:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to KOREAN language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# KO16KSC5601                   840 no
# KO16DBCS                      842 yes
# KO16KSCCS                     845 no
# KO16MSWIN949                  846 yes
# KO16TSTSET                    996 no
# KO16KSC5601FIXED             1840 no
# KO16DBCSFIXED                1842 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:842     ID:846     ID:1842   
#--------- ---------- ---------- ----------
E127       D5AD                  D5AD      
E128       D5AE                  D5AE      
E129       D5AF                  D5AF      
E12A       D5B0                  D5B0      
E12B       D5B1                  D5B1      
E12C       D5B2                  D5B2      
E12D       D5B3                  D5B3      
E12E       D5B4                  D5B4      
E12F       D5B5                  D5B5      
E130       D5B6                  D5B6      
E131       D5B7                  D5B7      
E132       D5B8                  D5B8      
E133       D5B9                  D5B9      
E134       D5BA                  D5BA      
E135       D5BB                  D5BB      
E136       D5BC                  D5BC      
E137       D5BD                  D5BD      
E138       D5BE                  D5BE      
E139       D5BF                  D5BF      
E13A       D5C0                  D5C0      
E13B       D5C1                  D5C1      
E13C       D5C2                  D5C2      
E13D       D5C3                  D5C3      
E13E       D5C4                  D5C4      
E13F       D5C5                  D5C5      
E140       D5C6                  D5C6      
E141       D5C7                  D5C7      
E142       D5C8                  D5C8      
E143       D5C9                  D5C9      
E144       D5CA                  D5CA      
E145       D5CB                  D5CB      
E146       D5CC                  D5CC      
E147       D5CD                  D5CD      
E148       D5CE                  D5CE      
E149       D5CF                  D5CF      
E14A       D5D0                  D5D0      
E14B       D5D1                  D5D1      
E14C       D5D2                  D5D2      
E14D       D5D3                  D5D3      
E14E       D5D4                  D5D4      
E14F       D5D5                  D5D5      
E150       D5D6                  D5D6      
E151       D5D7                  D5D7      
E152       D5D8                  D5D8      
E153       D5D9                  D5D9      
E154       D5DA                  D5DA      
E155       D5DB                  D5DB      
E156       D5DC                  D5DC      
E157       D5DD                  D5DD      
E158       D5DE                  D5DE      
E159       D5DF                  D5DF      
E15A       D5E0                  D5E0      
E15B       D5E1                  D5E1      
E15C       D5E2                  D5E2      
E15D       D5E3                  D5E3      
E15E       D5E4                  D5E4      
E15F       D5E5                  D5E5      
E160       D5E6                  D5E6      
E161       D5E7                  D5E7      
E162       D5E8                  D5E8      
E163       D5E9                  D5E9      
E164       D5EA                  D5EA      
E165       D5EB                  D5EB      
E166       D5EC                  D5EC      
E167       D5ED                  D5ED      
E168       D5EE                  D5EE      
E169       D5EF                  D5EF      
E16A       D5F0                  D5F0      
E16B       D5F1                  D5F1      
E16C       D5F2                  D5F2      
E16D       D5F3                  D5F3      
E16E       D5F4                  D5F4      
E16F       D5F5                  D5F5      
E170       D5F6                  D5F6      
E171       D5F7                  D5F7      
E172       D5F8                  D5F8      
E173       D5F9                  D5F9      
E174       D5FA                  D5FA      
E175       D5FB                  D5FB      
E176       D5FC                  D5FC      
E177       D5FD                  D5FD      
E178       D641                  D641      
E179       D642                  D642      
E17A       D643                  D643      
E17B       D644                  D644      
E17C       D645                  D645      
E17D       D646                  D646      
E17E       D647                  D647      
E17F       D648                  D648      
E180       D649                  D649      
E181       D64A                  D64A      
E182       D64B                  D64B      
E183       D64C                  D64C      
E184       D64D                  D64D      
E185       D64E                  D64E      
E186       D64F                  D64F      
E187       D650                  D650      
E188       D651                  D651      
E189       D652                  D652      
E18A       D653                  D653      
E18B       D654                  D654      
E18C       D655                  D655      
E18D       D656                  D656      
E18E       D657                  D657      
E18F       D658                  D658      
E190       D659                  D659      
E191       D65A                  D65A      
E192       D65B                  D65B      
E193       D65C                  D65C      
E194       D65D                  D65D      
E195       D65E                  D65E      
E196       D65F                  D65F      
E197       D660                  D660      
E198       D661                  D661      
E199       D662                  D662      
E19A       D663                  D663      
E19B       D664                  D664      
E19C       D665                  D665      
E19D       D666                  D666      
E19E       D667                  D667      
E19F       D668                  D668      
E1A0       D669                  D669      
E1A1       D66A                  D66A      
E1A2       D66B                  D66B      
E1A3       D66C                  D66C      
E1A4       D66D                  D66D      
E1A5       D66E                  D66E      
E1A6       D66F                  D66F      
E1A7       D670                  D670      
E1A8       D671                  D671      
E1A9       D672                  D672      
E1AA       D673                  D673      
E1AB       D674                  D674      
E1AC       D675                  D675      
E1AD       D676                  D676      
E1AE       D677                  D677      
E1AF       D678                  D678      
E1B0       D679                  D679      
E1B1       D67A                  D67A      
E1B2       D67B                  D67B      
E1B3       D67C                  D67C      
E1B4       D67D                  D67D      
E1B5       D67E                  D67E      
E1B6       D67F                  D67F      
E1B7       D681                  D681      
E1B8       D682                  D682      
E1B9       D683                  D683      
E1BA       D684                  D684      
E1BB       D685                  D685      
E1BC       D686                  D686      
E1BD       D687                  D687      
E1BE       D688                  D688      
E1BF       D689                  D689      
E1C0       D68A                  D68A      
E1C1       D68B                  D68B      
E1C2       D68C                  D68C      
E1C3       D68D                  D68D      
E1C4       D68E                  D68E      
E1C5       D68F                  D68F      
E1C6       D690                  D690      
E1C7       D691                  D691      
E1C8       D692                  D692      
E1C9       D693                  D693      
E1CA       D694                  D694      
E1CB       D695                  D695      
E1CC       D696                  D696      
E1CD       D697                  D697      
E1CE       D698                  D698      
E1CF       D699                  D699      
E1D0       D69A                  D69A      
E1D1       D69B                  D69B      
E1D2       D69C                  D69C      
E1D3       D69D                  D69D      
E1D4       D69E                  D69E      
E1D5       D69F                  D69F      
E1D6       D6A0                  D6A0      
E1D7       D6A1                  D6A1      
E1D8       D6A2                  D6A2      
E1D9       D6A3                  D6A3      
E1DA       D6A4                  D6A4      
E1DB       D6A5                  D6A5      
E1DC       D6A6                  D6A6      
E1DD       D6A7                  D6A7      
E1DE       D6A8                  D6A8      
E1DF       D6A9                  D6A9      
E1E0       D6AA                  D6AA      
E1E1       D6AB                  D6AB      
E1E2       D6AC                  D6AC      
E1E3       D6AD                  D6AD      
E1E4       D6AE                  D6AE      
E1E5       D6AF                  D6AF      
E1E6       D6B0                  D6B0      
E1E7       D6B1                  D6B1      
E1E8       D6B2                  D6B2      
E1E9       D6B3                  D6B3      
E1EA       D6B4                  D6B4      
E1EB       D6B5                  D6B5      
E1EC       D6B6                  D6B6      
E1ED       D6B7                  D6B7      
E1EE       D6B8                  D6B8      
E1EF       D6B9                  D6B9      
E1F0       D6BA                  D6BA      
E1F1       D6BB                  D6BB      
E1F2       D6BC                  D6BC      
E1F3       D6BD                  D6BD      
E1F4       D6BE                  D6BE      
E1F5       D6BF                  D6BF      
E1F6       D6C0                  D6C0      
E1F7       D6C1                  D6C1      
E1F8       D6C2                  D6C2      
E1F9       D6C3                  D6C3      
E1FA       D6C4                  D6C4      
E1FB       D6C5                  D6C5      
E1FC       D6C6                  D6C6      
E1FD       D6C7                  D6C7      
E1FE       D6C8                  D6C8      
E1FF       D6C9                  D6C9      
E200       D6CA                  D6CA      
E201       D6CB                  D6CB      
E202       D6CC                  D6CC      
E203       D6CD                  D6CD      
E204       D6CE                  D6CE      
E205       D6CF                  D6CF      
E206       D6D0                  D6D0      
E207       D6D1                  D6D1      
E208       D6D2                  D6D2      
E209       D6D3                  D6D3      
E20A       D6D4                  D6D4      
E20B       D6D5                  D6D5      
E20C       D6D6                  D6D6      
E20D       D6D7                  D6D7      
E20E       D6D8                  D6D8      
E20F       D6D9                  D6D9      
E210       D6DA                  D6DA      
E211       D6DB                  D6DB      
E212       D6DC                  D6DC      
E213       D6DD                  D6DD      
E214       D6DE                  D6DE      
E215       D6DF                  D6DF      
E216       D6E0                  D6E0      
E217       D6E1                  D6E1      
E218       D6E2                  D6E2      
E219       D6E3                  D6E3      
E21A       D6E4                  D6E4      
E21B       D6E5                  D6E5      
E21C       D6E6                  D6E6      
E21D       D6E7                  D6E7      
E21E       D6E8                  D6E8      
E21F       D6E9                  D6E9      
E220       D6EA                  D6EA      
E221       D6EB                  D6EB      
E222       D6EC                  D6EC      
E223       D6ED                  D6ED      
E224       D6EE                  D6EE      
E225       D6EF                  D6EF      
E226       D6F0                  D6F0      
E227       D6F1                  D6F1      
E228       D6F2                  D6F2      
E229       D6F3                  D6F3      
E22A       D6F4                  D6F4      
E22B       D6F5                  D6F5      
E22C       D6F6                  D6F6      
E22D       D6F7                  D6F7      
E22E       D6F8                  D6F8      
E22F       D6F9                  D6F9      
E230       D6FA                  D6FA      
E231       D6FB                  D6FB      
E232       D6FC                  D6FC      
E233       D6FD                  D6FD      
E234       D741                  D741      
E235       D742                  D742      
E236       D743                  D743      
E237       D744                  D744      
E238       D745                  D745      
E239       D746                  D746      
E23A       D747                  D747      
E23B       D748                  D748      
E23C       D749                  D749      
E23D       D74A                  D74A      
E23E       D74B                  D74B      
E23F       D74C                  D74C      
E240       D74D                  D74D      
E241       D74E                  D74E      
E242       D74F                  D74F      
E243       D750                  D750      
E244       D751                  D751      
E245       D752                  D752      
E246       D753                  D753      
E247       D754                  D754      
E248       D755                  D755      
E249       D756                  D756      
E24A       D757                  D757      
E24B       D758                  D758      
E24C       D759                  D759      
E24D       D75A                  D75A      
E24E       D75B                  D75B      
E24F       D75C                  D75C      
E250       D75D                  D75D      
E251       D75E                  D75E      
E252       D75F                  D75F      
E253       D760                  D760      
E254       D761                  D761      
E255       D762                  D762      
E256       D763                  D763      
E257       D764                  D764      
E258       D765                  D765      
E259       D766                  D766      
E25A       D767                  D767      
E25B       D768                  D768      
E25C       D769                  D769      
E25D       D76A                  D76A      
E25E       D76B                  D76B      
E25F       D76C                  D76C      
E260       D76D                  D76D      
E261       D76E                  D76E      
E262       D76F                  D76F      
E263       D770                  D770      
E264       D771                  D771      
E265       D772                  D772      
E266       D773                  D773      
E267       D774                  D774      
E268       D775                  D775      
E269       D776                  D776      
E26A       D777                  D777      
E26B       D778                  D778      
E26C       D779                  D779      
E26D       D77A                  D77A      
E26E       D77B                  D77B      
E26F       D77C                  D77C      
E270       D77D                  D77D      
E271       D77E                  D77E      
E272       D77F                  D77F      
E273       D781                  D781      
E274       D782                  D782      
E275       D783                  D783      
E276       D784                  D784      
E277       D785                  D785      
E278       D786                  D786      
E279       D787                  D787      
E27A       D788                  D788      
E27B       D789                  D789      
E27C       D78A                  D78A      
E27D       D78B                  D78B      
E27E       D78C                  D78C      
E27F       D78D                  D78D      
E280       D78E                  D78E      
E281       D78F                  D78F      
E282       D790                  D790      
E283       D791                  D791      
E284       D792                  D792      
E285       D793                  D793      
E286       D794                  D794      
E287       D795                  D795      
E288       D796                  D796      
E289       D797                  D797      
E28A       D798                  D798      
E28B       D799                  D799      
