#------------------------------------------------------------------------------
#
# Copyright (c) Oracle Corporation 1998. All Rights Reserved.
#
#------------------------------------------------------------------------------
#
# Name:          Mapping table from UDC to ISO 10646(Unicode) Private Use 
#                Area(PUA) for
#                SIMPLIFIED CHINESE character sets of Oracle NLSRTL
#
# Created Date:  Tue Dec 22 15:38:02 1998

#
# Table Version: It is generated from NLSRTL Version 3.4.0.0.0 - Production.
#
# Table Owner:   Oracle Corporation
#
# Tables:        This file includes two tables
#
#                Table 1: Character sets which belong to SIMPLIFIED CHINESE language
#
#                Table 2: Mapping between PUA and UDC values of all character
#                         set which has PUA mapping (stated 'yes' in Table 1.)
#
# Table 1 format:
#                Columns separated by spaces:
#                    Column 1: (pos.  3-30) character set name
#                    Column 2: (pos. 32-35) character set id
#                    Column 3: (pos. 37-39) has PUA mapping (yes/no)?
#
#                The entries are in Oracle character set id order.
#
# Table 2 format:
#                Columns separated by spaces
#                   Column 1: (pos.  1-10) ISO 10646 code in hex
#                   Column 2: (pos. 12-21) value of 1st character set in hex
#                   Column 3: (pos. 23-32) value of 2nd character set in hex
#                     :
#                     :
#                   Column N: (pos. xx-xx) value of Nth character set in hex
#                The entries are in ISO 10646 code value order.
#
#------------------------------------------------------------------------------
# Table 1.
# CHARACTER SET NAME            ID  PUA?
# ---------------------------- ---- ---
# ZHS16CGB231280                850 no
# ZHS16MACCGB231280             851 no
# ZHS16GBK                      852 yes
# ZHS16DBCS                     853 yes
# ZHS16CGB231280FIXED          1850 no
# ZHS16GBKFIXED                1852 yes
# ZHS16DBCSFIXED               1853 yes
#------------------------------------------------------------------------------
# Table 2.
# PUA      ID:852     ID:853     ID:1852    ID:1853   
#--------- ---------- ---------- ---------- ----------
E16F       ADF6       77F5       ADF6       77F5      
E170       ADF7       77F6       ADF7       77F6      
E171       ADF8       77F7       ADF8       77F7      
E172       ADF9       77F8       ADF9       77F8      
E173       ADFA       77F9       ADFA       77F9      
E174       ADFB       77FA       ADFB       77FA      
E175       ADFC       77FB       ADFC       77FB      
E176       ADFD       77FC       ADFD       77FC      
E177       ADFE       77FD       ADFE       77FD      
E178       AEA1       7841       AEA1       7841      
E179       AEA2       7842       AEA2       7842      
E17A       AEA3       7843       AEA3       7843      
E17B       AEA4       77FE       AEA4       77FE      
E17C       AEA5       7845       AEA5       7845      
E17D       AEA6       7846       AEA6       7846      
E17E       AEA7       7847       AEA7       7847      
E17F       AEA8       7848       AEA8       7848      
E180       AEA9       7849       AEA9       7849      
E181       AEAA       784A       AEAA       784A      
E182       AEAB       784B       AEAB       784B      
E183       AEAC       784C       AEAC       784C      
E184       AEAD       784D       AEAD       784D      
E185       AEAE       784E       AEAE       784E      
E186       AEAF       784F       AEAF       784F      
E187       AEB0       7850       AEB0       7850      
E188       AEB1       7851       AEB1       7851      
E189       AEB2       7852       AEB2       7852      
E18A       AEB3       7853       AEB3       7853      
E18B       AEB4       7854       AEB4       7854      
E18C       AEB5       7855       AEB5       7855      
E18D       AEB6       7856       AEB6       7856      
E18E       AEB7       7857       AEB7       7857      
E18F       AEB8       7858       AEB8       7858      
E190       AEB9       7859       AEB9       7859      
E191       AEBA       785A       AEBA       785A      
E192       AEBB       785B       AEBB       785B      
E193       AEBC       785C       AEBC       785C      
E194       AEBD       785D       AEBD       785D      
E195       AEBE       785E       AEBE       785E      
E196       AEBF       785F       AEBF       785F      
E197       AEC0       7860       AEC0       7860      
E198       AEC1       7861       AEC1       7861      
E199       AEC2       7862       AEC2       7862      
E19A       AEC3       7863       AEC3       7863      
E19B       AEC4       7864       AEC4       7864      
E19C       AEC5       7865       AEC5       7865      
E19D       AEC6       7866       AEC6       7866      
E19E       AEC7       7867       AEC7       7867      
E19F       AEC8       7868       AEC8       7868      
E1A0       AEC9       7869       AEC9       7869      
E1A1       AECA       786A       AECA       786A      
E1A2       AECB       786B       AECB       786B      
E1A3       AECC       786C       AECC       786C      
E1A4       AECD       786D       AECD       786D      
E1A5       AECE       786E       AECE       786E      
E1A6       AECF       786F       AECF       786F      
E1A7       AED0       7870       AED0       7870      
E1A8       AED1       7871       AED1       7871      
E1A9       AED2       7872       AED2       7872      
E1AA       AED3       7873       AED3       7873      
E1AB       AED4       7874       AED4       7874      
E1AC       AED5       7875       AED5       7875      
E1AD       AED6       7876       AED6       7876      
E1AE       AED7       7877       AED7       7877      
E1AF       AED8       7878       AED8       7878      
E1B0       AED9       7879       AED9       7879      
E1B1       AEDA       787A       AEDA       787A      
E1B2       AEDB       787B       AEDB       787B      
E1B3       AEDC       787C       AEDC       787C      
E1B4       AEDD       787D       AEDD       787D      
E1B5       AEDE       787E       AEDE       787E      
E1B6       AEDF       787F       AEDF       787F      
E1B7       AEE0       7881       AEE0       7881      
E1B8       AEE1       7882       AEE1       7882      
E1B9       AEE2       7883       AEE2       7883      
E1BA       AEE3       7884       AEE3       7884      
E1BB       AEE4       7880       AEE4       7880      
E1BC       AEE5       7886       AEE5       7886      
E1BD       AEE6       7887       AEE6       7887      
E1BE       AEE7       7888       AEE7       7888      
E1BF       AEE8       7889       AEE8       7889      
